yourlist:M20201204A94466D2655679D1FD8953E075198DA81C43253	Entry
DAPK1	P53355
DBH	P09172
DBH	Q5T382
DCHS2	A0A0A0MRC0
DCHS2	D3DP12
DCHS2	Q6V1P9
DDX18	H7C452
DDX18	Q4ZG72
DDX18	Q53TI6
DDX18	Q9NVP1
DDX39B	A0A0A0MT12
DDX39B	A0A0G2JHN7
DDX39B	A0A0G2JJL7
DDX39B	A0A0G2JJZ9
DDX39B	A0A140T973
DDX39B	A0A140T996
DDX39B	A0A140T9A8
DDX39B	A0A140T9B4
DDX39B	A0A140T9K1
DDX39B	A0A140T9K2
DDX39B	A0A140T9L4
DDX39B	A0A140T9N3
DDX39B	A0A140T9Q9
DDX39B	A0A140T9X3
DDX39B	A0A140T9X9
DDX39B	A0A140TA18
DDX39B	A0A286SD52
DDX39B	A0A286SD59
DDX39B	A0A286SD63
DDX39B	A0A286SD64
DDX39B	A0A286SD65
DDX39B	A0A286SD67
