Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
4435,CITED1,-5.278359033,1.30E-07,------,1.54E-06,0.003067039,0.71,0.82,,-0.4929
112611,RWDD2A,-5.278156714,1.30E-07,------,1.54E-06,0.003070426,0.52,0.79,,-0.482
4176,MCM7,5.277826364,1.31E-07,++?+++,1.55E-06,0.003075965,1.58,1.21,,
90060,CCDC120,5.276547999,1.32E-07,??++++,1.56E-06,0.00309749,1.26,1.15,,0.4494
64135,IFIH1,5.276298591,1.32E-07,-+++++,1.56E-06,0.003101707,1.31,1.18,,0.4875
3151,HMGN2,-5.275741996,1.32E-07,--?--+,1.56E-06,0.003111137,0.75,0.87,,
131375,LYZL4,-5.275323448,1.33E-07,-??--+,1.56E-06,0.003118246,0.86,0.94,,-0.5046
257313,UTS2D,-5.275197645,1.33E-07,???---,1.56E-06,0.003120386,0.91,0.92,,
64756,ATPAF1,-5.274482815,1.33E-07,--?---,1.57E-06,0.003132572,0.65,0.84,-0.6048,-0.5487
9158,FIBP,-5.273592831,1.34E-07,--?---,1.58E-06,0.003147809,0.50,0.79,-0.6854,-0.6042
23710,GABARAPL1,-5.27336339,1.34E-07,--?---,1.58E-06,0.003151749,0.54,0.80,-0.6987,-0.5464
114824,PNMA5,-5.27286579,1.34E-07,???--+,1.58E-06,0.003160309,0.80,0.90,,-0.5527
6919,TCEA2,-5.272817012,1.34E-07,--?---,1.58E-06,0.00316115,0.64,0.85,-0.6014,-0.5719
25911,DPCD,-5.272355368,1.35E-07,-----+,1.58E-06,0.003169114,0.65,0.86,-0.6502,-0.526
56851,EMC7,-5.272133364,1.35E-07,--?---,1.58E-06,0.003172951,0.75,0.88,,
11041,B3GNT1,-5.271530131,1.35E-07,------,1.59E-06,0.003183399,0.64,0.83,-0.5915,-0.5199
27125,AFF4,5.271172177,1.36E-07,++?+++,1.59E-06,0.003189615,1.45,1.14,,
54498,SMOX,5.271067122,1.36E-07,++?++-,1.59E-06,0.003191441,1.54,1.22,0.6612,0.5027
55640,FLVCR2,5.270284765,1.36E-07,?+?+++,1.60E-06,0.003205075,1.21,1.11,,
4353,MPO,-5.26981872,1.37E-07,--?--+,1.60E-06,0.003213223,0.76,0.90,,-0.4952
6921,TCEB1,-5.269522019,1.37E-07,------,1.60E-06,0.003218421,0.62,0.86,-0.6839,-0.5509
5209,PFKFB3,5.26914998,1.37E-07,++?+++,1.61E-06,0.00322495,1.65,1.27,0.6069,
57169,ZNFX1,5.26831174,1.38E-07,++?+++,1.61E-06,0.003239708,1.26,1.10,0.603,0.4805
22808,MRAS,5.268075269,1.38E-07,++?+++,1.61E-06,0.003243883,1.96,1.31,,
24141,LAMP5,-5.267565665,1.38E-07,-----+,1.62E-06,0.003252898,0.57,0.77,,
55277,FGGY,-5.266988174,1.39E-07,?-----,1.62E-06,0.003263144,0.80,0.88,,
340843,RP11-162I21.1,5.266312162,1.39E-07,???++?,1.63E-06,0.003275177,1.26,1.23,,
442092,UNQ6125,-5.266267812,1.39E-07,???---,1.63E-06,0.003275967,0.90,0.94,,
